index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
PK_CATTLETRANSFER,CATTLETRANSFER,UNIQUE,ACTIVE,ASC,CATTRANS_ID,0
FK_COMMUNITYTAXCERTIFICATE_1,COMMUNITYTAXCERTIFICATE,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
PK_COMMUNITYTAXCERTIFICATE_1,COMMUNITYTAXCERTIFICATE,UNIQUE,ACTIVE,ASC,CTC_ID,0
PK_CTCOTHERLGU,CTCOTHERLGU,UNIQUE,ACTIVE,ASC,OTHERCTC_ID,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,UNIQUE,ACTIVE,ASC,SEQNAME,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,UNIQUE,ACTIVE,ASC,MUNICIPAL_ID,1
RDB$PRIMARY2,CTRLSYSCONFIG,UNIQUE,ACTIVE,ASC,TAG,0
PK_CUSTOMLAYOUTAF,CUSTOMLAYOUT_AF,UNIQUE,ACTIVE,ASC,CLAF_ID,0
PK_CUSTOMREPORT,CUSTOMREPORT,UNIQUE,ACTIVE,ASC,CR_ID,0
PK_DELETE_AUDITTRAIL,DELETE_AUDITTRAIL,UNIQUE,ACTIVE,ASC,DELETE_AUDITTRAIL_ID,0
FK_EEBILL_0,EEBILL,NON_UNIQUE,ACTIVE,ASC,CONSIGNEELOCAL_TIN,0
FK_EEBILL_1,EEBILL,NON_UNIQUE,ACTIVE,ASC,OWNERLOCAL_TIN,0
FK_EEBILL_2,EEBILL,NON_UNIQUE,ACTIVE,ASC,TYPEOFFEE_CT,0
FK_EEBILL_3,EEBILL,NON_UNIQUE,ACTIVE,ASC,LIVESTOCK_CT,0
PK_EEBILL_1,EEBILL,UNIQUE,ACTIVE,ASC,EEBILL_ID,0
FK_EECITATION_1,EECITATION,NON_UNIQUE,ACTIVE,ASC,EECONTRACT_ID,0
PK_EECITATION_1,EECITATION,UNIQUE,ACTIVE,ASC,CITATION_ID,0
FK_EECITATIONTICKETDETAIL_0,EECITATIONTICKETDETAIL,NON_UNIQUE,ACTIVE,ASC,CITATION_ID,0
FK_EECITATIONTICKETDETAIL_1,EECITATIONTICKETDETAIL,NON_UNIQUE,ACTIVE,ASC,VIOLATION_CT,0
PK_EECITATIONTICKETDETAIL_1,EECITATIONTICKETDETAIL,UNIQUE,ACTIVE,ASC,CITATIONDETAIL_ID,0
FK_EECLEARANCE_1,EECLEARANCE,NON_UNIQUE,ACTIVE,ASC,EECLEARANCE_CT,0
FK_EECLEARANCE_2,EECLEARANCE,NON_UNIQUE,ACTIVE,ASC,EECONTRACT_ID,0
PK_EECLEARANCE_1,EECLEARANCE,UNIQUE,ACTIVE,ASC,EEC_ID,0
FK_EECONTRACT,EECONTRACT,NON_UNIQUE,ACTIVE,ASC,ITAXTYPE_CT,0
FK_EECONTRACT_1,EECONTRACT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
FK_EECONTRACT_3,EECONTRACT,NON_UNIQUE,ACTIVE,ASC,EESECTION_CT,0
FK_EECONTRACT_4,EECONTRACT,NON_UNIQUE,ACTIVE,ASC,EELOCATION_CT,0
PK_EECONTRACT_1,EECONTRACT,UNIQUE,ACTIVE,ASC,EECONTRACT_ID,0
PK_EESECTION_ID,EECONTRACTSECTION,UNIQUE,ACTIVE,ASC,EESECTION_ID,0
IDX_EEPROMISORY1,EEPROMISSORY,NON_UNIQUE,ACTIVE,ASC,EECONTRACT_ID,0
IDX_EEPROMISORY2,EEPROMISSORY,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
IDX_EEPROMISORY3,EEPROMISSORY,NON_UNIQUE,ACTIVE,ASC,DEBITPOSTING,0
PK_EEP_ID,EEPROMISSORY,UNIQUE,ACTIVE,ASC,EEP_ID,0
FK_ENFORCEMENT_1,ENFORCEMENT,NON_UNIQUE,ACTIVE,ASC,ENFORCEMENTSTATUS_CT,0
