constraint_name,relation_name,index_name,field_name,field_position,referenced_constraint,referenced_relation,referenced_field,update_rule,delete_rule
FK_RPTBLDGEXTRA_RPTASSESSMENT,RPTBLDGEXTRA,FK_RPTBLDGEXTRA_RPTASSESSMENT,TAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTBLDGFLR_ACTUALUSE,RPTBLDGFLOOR,FK_RPTBLDGFLR_ACTUALUSE,ACTUALUSE_CT,0,PK_T_ACTUALUSE_1,T_ACTUALUSE,CODE,RESTRICT,RESTRICT
FK_RPTBLDGFLR_RPTASSESSMENT,RPTBLDGFLOOR,FK_RPTBLDGFLR_RPTASSESSMENT,TAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTBLDGINFO_RPTASSESSMENT,RPTBLDGINFO,FK_RPTBLDGINFO_RPTASSESSMENT,TAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTBLDGSTRCMT_BLDGCMP,RPTBLDGSTRUCTURALMATERIAL,FK_RPTBLDGSTRCMT_BLDGCMP,BLDGCOMPONENT_CT,0,PK_T_BLDGCOMPONENT_1,T_BLDGCOMPONENT,CODE,RESTRICT,RESTRICT
FK_RPTBLDGSTRCMT_RPTBLDGFLR,RPTBLDGSTRUCTURALMATERIAL,FK_RPTBLDGSTRCMT_RPTBLDGFLR,FLOOR_ID,0,PK_RPTBLDGFLOOR_1,RPTBLDGFLOOR,FLOOR_ID,RESTRICT,RESTRICT
FK_RPTBLDGSTRCRMT_BLDGMT,RPTBLDGSTRUCTURALMATERIAL,FK_RPTBLDGSTRCRMT_BLDGMT,BLDGMATERIAL_CT,0,PK_T_BLDGMATERIAL_1,T_BLDGMATERIAL,CODE,RESTRICT,RESTRICT
FK_RPTCANCELLED_DETAIL_1,RPTCANCELLED_DETAIL,FK_RPTCANCELLED_DETAIL_1,RPTCTAXTRANS_ID,0,PK_RPTCANCELLED_1,RPTCANCELLED,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTCOMPDET_RPTCOMP,RPTCOMPROMISEDETAIL,FK_RPTCOMPDET_RPTCOMP,RPTC_ID,0,PK_RPTCOMPROMISE_1,RPTCOMPROMISE,RPTC_ID,RESTRICT,RESTRICT
FK_RPTLANDAPP_CLASSLVL,RPTLANDAPPRAISAL,FK_RPTLANDAPP_CLASSLVL,CLASSLEVEL_CT,0,PK_T_CLASSLEVEL_1,T_CLASSLEVEL,CODE,RESTRICT,RESTRICT
FK_RPTLIABILITY_TAXPAYER,RPTLIABILITY,FK_RPTLIABILITY_TAXPAYER,LOCAL_TIN,0,PK_TAXPAYER_1,TAXPAYER,LOCAL_TIN,RESTRICT,RESTRICT
FK_RPTLIABILITY_TAXPAYER2,RPTLIABILITY,FK_RPTLIABILITY_TAXPAYER2,ADMINLOCAL_TIN,0,PK_TAXPAYER_1,TAXPAYER,LOCAL_TIN,RESTRICT,RESTRICT
FK_RPTMACHAPP_ACTUALUSE,RPTMACHAPPRAISAL,FK_RPTMACHAPP_ACTUALUSE,ACTUALUSE_CT,0,PK_T_ACTUALUSE_1,T_ACTUALUSE,CODE,RESTRICT,RESTRICT
FK_RPTMACHAPP_MACHCOND,RPTMACHAPPRAISAL,FK_RPTMACHAPP_MACHCOND,MACHCONDITION_CT,0,PK_T_MACHINECONDITION_1,T_MACHINECONDITION,CODE,RESTRICT,RESTRICT
FK_RPTMACHAPP_MACHNGRP,RPTMACHAPPRAISAL,FK_RPTMACHAPP_MACHNGRP,MACHGROUP_CT,0,PK_T_MACHINEGROUP_1,T_MACHINEGROUP,CODE,RESTRICT,RESTRICT
FK_RPTMACHAPP_MACHTYPE,RPTMACHAPPRAISAL,FK_RPTMACHAPP_MACHTYPE,MACHTYPE_CT,0,PK_T_MACHINETYPE_1,T_MACHINETYPE,CODE,RESTRICT,RESTRICT
