trigger_name,relation_name,trigger_event,status
DELETE_RPTBLDGFLOOR,RPTBLDGFLOOR,AFTER DELETE,ACTIVE
RPTBLDGFLOOR_LASTEDITED,RPTBLDGFLOOR,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTBLDGINFO,RPTBLDGINFO,AFTER DELETE,ACTIVE
RPTBLDGINFO_LASTEDITED,RPTBLDGINFO,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTBLDGSTRUCT,RPTBLDGSTRUCTURALMATERIAL,AFTER DELETE,ACTIVE
RPTBLDGSTRUCTMATEAL_LASTEDITED,RPTBLDGSTRUCTURALMATERIAL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTCANCELLED,RPTCANCELLED,AFTER DELETE,ACTIVE
RPTCANCELLED_LASTEDITED,RPTCANCELLED,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTCANCELLED_DETAIL,RPTCANCELLED_DETAIL,BEFORE DELETE,ACTIVE
RPTCANCELLED_DETAIL_LASTEDITED,RPTCANCELLED_DETAIL,BEFORE INSERT OR UPDATE,ACTIVE
RPTCOMPROMISEDETAIL_LASTEDITED,RPTCOMPROMISEDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTLANDAPPRAISAL,RPTLANDAPPRAISAL,AFTER DELETE,ACTIVE
RPTLANDAPPRAISAL_LASTEDITED,RPTLANDAPPRAISAL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTLIABILITY,RPTLIABILITY,AFTER DELETE,ACTIVE
RPTLIABILITY_LASTEDITED,RPTLIABILITY,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTMACHAPPRAISAL,RPTMACHAPPRAISAL,AFTER DELETE,ACTIVE
RPTMACHAPPRAISAL_LASTEDITED,RPTMACHAPPRAISAL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTPLANTTREEAPPRAISAL,RPTPLANTTREEAPPRAISAL,AFTER DELETE,ACTIVE
RPTPLANTTSAL_LASTEDITED,RPTPLANTTREEAPPRAISAL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTTRANSACTION,RPTTRANSACTION,AFTER DELETE,ACTIVE
RPTTRANSACTION_LASTEDITED,RPTTRANSACTION,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_RPTVALUEADJUSTMENT,RPTVALUEADJUSTMENT,AFTER DELETE,ACTIVE
RPTVALUEADJUSTMENT_LASTEDITED,RPTVALUEADJUSTMENT,BEFORE INSERT OR UPDATE,ACTIVE
TD_TAXCLEARANCE,TAXCLEARANCE,BEFORE INSERT OR UPDATE,ACTIVE
TAXPAYER_LASTEDITED,TAXPAYER,BEFORE INSERT OR UPDATE,ACTIVE
TAXPAYER_TAXPAYERHISTORY,TAXPAYER,BEFORE UPDATE OR DELETE,ACTIVE
TAXPAYERDETAIL_LASTEDITED,TAXPAYERDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_TPACCOUNT,TPACCOUNT,AFTER DELETE,ACTIVE
DELETE_TRANSACTIONSTATUS,TRANSACTIONSTATUS,AFTER DELETE,ACTIVE
DELETE_TRANSACTIONSTATUSDETAIL,TRANSACTIONSTATUSDETAIL,AFTER DELETE,ACTIVE
HIS_TACCOUNTCODE_DEL,T_ACCOUNTCODE,AFTER DELETE,ACTIVE
HIS_TACCOUNTCODE_INS,T_ACCOUNTCODE,AFTER INSERT,ACTIVE
HIS_TACCOUNTCODE_UPD,T_ACCOUNTCODE,AFTER UPDATE,ACTIVE
TD_T_ACCOUNTCODE,T_ACCOUNTCODE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TACTUALUSE_DEL,T_ACTUALUSE,AFTER DELETE,ACTIVE
HIS_TACTUALUSE_INS,T_ACTUALUSE,AFTER INSERT,ACTIVE
HIS_TACTUALUSE_UPD,T_ACTUALUSE,AFTER UPDATE,ACTIVE
TD_T_ACTUALUSE,T_ACTUALUSE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TADJUSTMENT_DEL,T_ADJUSTMENT,AFTER DELETE,ACTIVE
HIS_TADJUSTMENT_INS,T_ADJUSTMENT,AFTER INSERT,ACTIVE
HIS_TADJUSTMENT_UPD,T_ADJUSTMENT,AFTER UPDATE,ACTIVE
TD_T_ADJUSTMENT,T_ADJUSTMENT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TADJUSTMENTTYPE_DEL,T_ADJUSTMENTTYPE,AFTER DELETE,ACTIVE
HIS_TADJUSTMENTTYPE_INS,T_ADJUSTMENTTYPE,AFTER INSERT,ACTIVE
HIS_TADJUSTMENTTYPE_UPD,T_ADJUSTMENTTYPE,AFTER UPDATE,ACTIVE
TD_T_ADJUSMENTTYPE,T_ADJUSTMENTTYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TASSESSMENTLEVEL_DEL,T_ASSESSMENTLEVEL,AFTER DELETE,ACTIVE
HIS_TASSESSMENTLEVEL_INS,T_ASSESSMENTLEVEL,AFTER INSERT,ACTIVE
HIS_TASSESSMENTLEVEL_UPD,T_ASSESSMENTLEVEL,AFTER UPDATE,ACTIVE
TD_T_ASSESSMENTLEVEL,T_ASSESSMENTLEVEL,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBANK_INS,T_BANK,AFTER INSERT,ACTIVE
TD_T_BANK,T_BANK,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBARANGAY_DEL,T_BARANGAY,AFTER DELETE,ACTIVE
HIS_TBARANGAY_INS,T_BARANGAY,AFTER INSERT,ACTIVE
HIS_TBARANGAY_UPD,T_BARANGAY,AFTER UPDATE,ACTIVE
TD_T_BARANGAY,T_BARANGAY,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGCLASS_DEL,T_BLDGCLASS,AFTER DELETE,ACTIVE
HIS_TBLDGCLASS_INS,T_BLDGCLASS,AFTER INSERT,ACTIVE
