trigger_name,relation_name,trigger_event,status
HIS_TPROPERTYKIND_INS,T_PROPERTYKIND,AFTER INSERT,ACTIVE
HIS_TPROPERTYKIND_UPD,T_PROPERTYKIND,AFTER UPDATE,ACTIVE
TD_T_PROPERTYKIND,T_PROPERTYKIND,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPROVINCE_DEL,T_PROVINCE,AFTER DELETE,ACTIVE
HIS_TPROVINCE_INS,T_PROVINCE,AFTER INSERT,ACTIVE
HIS_TPROVINCE_UPD,T_PROVINCE,AFTER UPDATE,ACTIVE
TD_T_PROVINCE,T_PROVINCE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TREGIONALPARAMS_DEL,T_REGIONALPARAMS,AFTER DELETE,ACTIVE
HIS_TREGIONALPARAMS_INS,T_REGIONALPARAMS,AFTER INSERT,ACTIVE
HIS_TREGIONALPARAMS_UPD,T_REGIONALPARAMS,AFTER UPDATE,ACTIVE
TD_T_REGIONALPARAMS,T_REGIONALPARAMS,BEFORE INSERT OR UPDATE,ACTIVE
T_REGIONALPARAMS_BI,T_REGIONALPARAMS,BEFORE INSERT,ACTIVE
HIS_TREPORTGROUP_DEL,T_REPORTGROUP,AFTER DELETE,ACTIVE
HIS_TREPORTGROUP_INS,T_REPORTGROUP,AFTER INSERT,ACTIVE
HIS_TREPORTGROUP_UPD,T_REPORTGROUP,AFTER UPDATE,ACTIVE
TD_T_REPORTGROUP,T_REPORTGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TREQUIREMENT_DEL,T_REQUIREMENT,AFTER DELETE,ACTIVE
HIS_TREQUIREMENT_INS,T_REQUIREMENT,AFTER INSERT,ACTIVE
HIS_TREQUIREMENT_UPD,T_REQUIREMENT,AFTER UPDATE,ACTIVE
HIS_TRPTGRINFO_DEL,T_RPTGRINFO,AFTER DELETE,ACTIVE
HIS_TRPTGRINFO_INS,T_RPTGRINFO,AFTER INSERT,ACTIVE
HIS_TRPTGRINFO_UPD,T_RPTGRINFO,AFTER UPDATE,ACTIVE
TD_T_RPTGRINFO,T_RPTGRINFO,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TRPTTRANSACTION_DEL,T_RPTTRANSACTION,AFTER DELETE,ACTIVE
HIS_TRPTTRANSACTION_INS,T_RPTTRANSACTION,AFTER INSERT,ACTIVE
HIS_TRPTTRANSACTION_UPD,T_RPTTRANSACTION,AFTER UPDATE,ACTIVE
TD_T_RPTTRANSACTION,T_RPTTRANSACTION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSFMVBLDGCOST_DEL,T_SFMVBLDGCOST,AFTER DELETE,ACTIVE
HIS_TSFMVBLDGCOST_INS,T_SFMVBLDGCOST,AFTER INSERT,ACTIVE
HIS_TSFMVBLDGCOST_UPD,T_SFMVBLDGCOST,AFTER UPDATE,ACTIVE
TD_T_SFMVBLDGCOST,T_SFMVBLDGCOST,BEFORE INSERT OR UPDATE,ACTIVE
TD_T_SFMVBLDGDEP,T_SFMVBLDGDEPRECIATION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSFMVBLDGEXTRAITEM_DEL,T_SFMVBLDGEXTRAITEM,AFTER DELETE,ACTIVE
HIS_TSFMVBLDGEXTRAITEM_INS,T_SFMVBLDGEXTRAITEM,AFTER INSERT,ACTIVE
HIS_TSFMVBLDGEXTRAITEM_UPD,T_SFMVBLDGEXTRAITEM,AFTER UPDATE,ACTIVE
TD_T_SFMVEXTRAITEM,T_SFMVBLDGEXTRAITEM,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSFMVLAND_DEL,T_SFMVLAND,AFTER DELETE,ACTIVE
HIS_TSFMVLAND_INS,T_SFMVLAND,AFTER INSERT,ACTIVE
HIS_TSFMVLAND_UPD,T_SFMVLAND,AFTER UPDATE,ACTIVE
TD_T_SFMVLAND,T_SFMVLAND,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSFMVLANDADJUSTMENT_DEL,T_SFMVLANDADJUSTMENT,AFTER DELETE,ACTIVE
HIS_TSFMVLANDADJUSTMENT_INS,T_SFMVLANDADJUSTMENT,AFTER INSERT,ACTIVE
HIS_TSFMVLANDADJUSTMENT_UPD,T_SFMVLANDADJUSTMENT,AFTER UPDATE,ACTIVE
TD_T_SFMVLANDADJUSTMENT,T_SFMVLANDADJUSTMENT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSFMVPLANTTREE_DEL,T_SFMVPLANTTREE,AFTER DELETE,ACTIVE
HIS_TSFMVPLANTTREE_INS,T_SFMVPLANTTREE,AFTER INSERT,ACTIVE
HIS_TSFMVPLANTTREE_UPD,T_SFMVPLANTTREE,AFTER UPDATE,ACTIVE
TD_T_SFMVPLANTTREE,T_SFMVPLANTTREE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSHARES_DEL,T_SHARES,AFTER DELETE,ACTIVE
HIS_TSHARES_INS,T_SHARES,AFTER INSERT,ACTIVE
HIS_TSHARES_UPD,T_SHARES,AFTER UPDATE,ACTIVE
TD_T_SHARES,T_SHARES,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSTATUS_DEL,T_STATUS,AFTER DELETE,ACTIVE
HIS_TSTATUS_INS,T_STATUS,AFTER INSERT,ACTIVE
HIS_TSTATUS_UPD,T_STATUS,AFTER UPDATE,ACTIVE
TD_T_STATUS,T_STATUS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TSUBCLASSIFICATION_DEL,T_SUBCLASSIFICATION,AFTER DELETE,ACTIVE
HIS_TSUBCLASSIFICATION_INS,T_SUBCLASSIFICATION,AFTER INSERT,ACTIVE
HIS_TSUBCLASSIFICATION_UPD,T_SUBCLASSIFICATION,AFTER UPDATE,ACTIVE
TD_T_SUBCLASSIFICATION,T_SUBCLASSIFICATION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TTAXPERIOD_DEL,T_TAXPERIOD,AFTER DELETE,ACTIVE
HIS_TTAXPERIOD_INS,T_TAXPERIOD,AFTER INSERT,ACTIVE
HIS_TTAXPERIOD_UPD,T_TAXPERIOD,AFTER UPDATE,ACTIVE
TD_T_TAXPERIOD,T_TAXPERIOD,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TTRANSAPPROVAL_DEL,T_TRANSAPPROVAL,AFTER DELETE,ACTIVE
HIS_TTRANSAPPROVAL_INS,T_TRANSAPPROVAL,AFTER INSERT,ACTIVE
HIS_TTRANSAPPROVAL_UPD,T_TRANSAPPROVAL,AFTER UPDATE,ACTIVE
HIS_TTREEVIEWMENU_DEL,T_TREEVIEWMENU,AFTER DELETE,ACTIVE
HIS_TTREEVIEWMENU_INS,T_TREEVIEWMENU,AFTER INSERT,ACTIVE
HIS_TTREEVIEWMENU_UPD,T_TREEVIEWMENU,AFTER UPDATE,ACTIVE
TD_T_TREEVIEWMENU,T_TREEVIEWMENU,BEFORE INSERT,ACTIVE
HIS_TUNIT_DEL,T_UNIT,AFTER DELETE,ACTIVE
HIS_TUNIT_INS,T_UNIT,AFTER INSERT,ACTIVE
HIS_TUNIT_UPD,T_UNIT,AFTER UPDATE,ACTIVE
TD_T_UNIT,T_UNIT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWATERITEM_DEL,T_WATERITEM,AFTER DELETE,ACTIVE
HIS_TWATERITEM_INS,T_WATERITEM,AFTER INSERT,ACTIVE
HIS_TWATERITEM_UPD,T_WATERITEM,AFTER UPDATE,ACTIVE
TD_T_WATERITEM,T_WATERITEM,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWATERITEMGROUP_DEL,T_WATERITEMGROUP,AFTER DELETE,ACTIVE
HIS_TWATERITEMGROUP_INS,T_WATERITEMGROUP,AFTER INSERT,ACTIVE
HIS_TWATERITEMGROUP_UPD,T_WATERITEMGROUP,AFTER UPDATE,ACTIVE
TD_T_WATERITEMGROUP,T_WATERITEMGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWATERORDINANCE_DEL,T_WATERORDINANCE,AFTER DELETE,ACTIVE
HIS_TWATERORDINANCE_INS,T_WATERORDINANCE,AFTER INSERT,ACTIVE
HIS_TWATERORDINANCE_UPD,T_WATERORDINANCE,AFTER UPDATE,ACTIVE
TD_T_WATERORDINANCE,T_WATERORDINANCE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWATERREPORTS_DEL,T_WATERREPORTS,AFTER DELETE,ACTIVE
HIS_TWATERREPORTS_INS,T_WATERREPORTS,AFTER INSERT,ACTIVE
HIS_TWATERREPORTS_UPD,T_WATERREPORTS,AFTER UPDATE,ACTIVE
TD_T_WATERREPORTS,T_WATERREPORTS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWCLASSCODE_DEL,T_WCLASSCODE,AFTER DELETE,ACTIVE
HIS_TWCLASSCODE_INS,T_WCLASSCODE,AFTER INSERT,ACTIVE
HIS_TWCLASSCODE_UPD,T_WCLASSCODE,AFTER UPDATE,ACTIVE
TD_T_WCLASSCODE,T_WCLASSCODE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWCONNECTIONRATE_DEL,T_WCONNECTIONRATE,AFTER DELETE,ACTIVE
HIS_TWCONNECTIONRATE_INS,T_WCONNECTIONRATE,AFTER INSERT,ACTIVE
HIS_TWCONNECTIONRATE_UPD,T_WCONNECTIONRATE,AFTER UPDATE,ACTIVE
TD_T_WCONNECTIONRATE,T_WCONNECTIONRATE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWCONNECTIONTYPE_DEL,T_WCONNECTIONTYPE,AFTER DELETE,ACTIVE
HIS_TWCONNECTIONTYPE_INS,T_WCONNECTIONTYPE,AFTER INSERT,ACTIVE
HIS_TWCONNECTIONTYPE_UPD,T_WCONNECTIONTYPE,AFTER UPDATE,ACTIVE
TD_T_WCONNECTIONTYPE,T_WCONNECTIONTYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWCSTATUS_DEL,T_WCSTATUS,AFTER DELETE,ACTIVE
HIS_TWCSTATUS_INS,T_WCSTATUS,AFTER INSERT,ACTIVE
HIS_TWCSTATUS_UPD,T_WCSTATUS,AFTER UPDATE,ACTIVE
TD_T_WCSTATUS,T_WCSTATUS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWNODE_DEL,T_WNODE,AFTER DELETE,ACTIVE
HIS_TWNODE_INS,T_WNODE,AFTER INSERT,ACTIVE
HIS_TWNODE_UPD,T_WNODE,AFTER UPDATE,ACTIVE
TD_T_WNODE,T_WNODE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWOWI_DEL,T_WOWI,AFTER DELETE,ACTIVE
HIS_TWOWI_INS,T_WOWI,AFTER INSERT,ACTIVE
HIS_TWOWI_UPD,T_WOWI,AFTER UPDATE,ACTIVE
TD_T_WOWI,T_WOWI,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWSECTOR_DEL,T_WSECTOR,AFTER DELETE,ACTIVE
HIS_TWSECTOR_INS,T_WSECTOR,AFTER INSERT,ACTIVE
HIS_TWSECTOR_UPD,T_WSECTOR,AFTER UPDATE,ACTIVE
TD_T_WSECTOR,T_WSECTOR,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWSTUBOUT_DEL,T_WSTUBOUT,AFTER DELETE,ACTIVE
HIS_TWSTUBOUT_INS,T_WSTUBOUT,AFTER INSERT,ACTIVE
HIS_TWSTUBOUT_UPD,T_WSTUBOUT,AFTER UPDATE,ACTIVE
TD_T_WSTUBOUT,T_WSTUBOUT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TWZONE_DEL,T_WZONE,AFTER DELETE,ACTIVE
HIS_TWZONE_INS,T_WZONE,AFTER INSERT,ACTIVE
HIS_TWZONE_UPD,T_WZONE,AFTER UPDATE,ACTIVE
TD_T_WZONE,T_WZONE,BEFORE INSERT OR UPDATE,ACTIVE
TD_WATERBILL,WATERBILL,BEFORE INSERT OR UPDATE,ACTIVE
TD_WATERBILLDETAIL,WATERBILLDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
TD_WATERCONTRACT,WATERCONTRACT,BEFORE INSERT OR UPDATE,ACTIVE
TD_WATERMETER,WATERMETER,BEFORE INSERT OR UPDATE,ACTIVE
WATERMETER_HISTORY,WATERMETER,BEFORE UPDATE,ACTIVE
TD_WC_DETAIL,WC_DETAIL,BEFORE INSERT OR UPDATE,ACTIVE
TD_WMREADER_BARANGAY,WMREADER_BARANGAY,BEFORE INSERT OR UPDATE,ACTIVE
TD_WM_READING,WM_READING,BEFORE INSERT OR UPDATE,ACTIVE
TD_WM_READINGLIST,WM_READINGLIST,BEFORE INSERT OR UPDATE,ACTIVE
TD_WM_WC,WM_WC,BEFORE INSERT OR UPDATE,ACTIVE
WM_WC_HISTORY,WM_WC,BEFORE UPDATE,ACTIVE
